DZN,Mode,Persons
110286283,Ferry,0
110286283,Tram,0
110286283,Taxi,0
110286283,"Car, as driver",150
110286283,"Car, as passenger",14
110286283,Truck,4
110286283,Motorbike/scooter,0
110286283,Bicycle,0
110286283,Walked only,12
110286283,Worked at home,85
110286284,Train,5
110286284,Bus,3
110286284,Ferry,0
110286284,Tram,0
110286284,Taxi,0
110286284,"Car, as driver",406
110286284,"Car, as passenger",36
110286284,Truck,10
110286284,Motorbike/scooter,0
110286284,Bicycle,3
110286284,Walked only,18
110286284,Worked at home,181
110296249,Train,8
110296249,Bus,0
110296249,Ferry,0
110296249,Tram,0
110296249,Taxi,0
110296249,"Car, as driver",248
110296249,"Car, as passenger",21
110296249,Truck,0
110296249,Motorbike/scooter,0
110296249,Bicycle,0
110296249,Walked only,12
110296249,Worked at home,117
110296250,Train,0
110296250,Bus,0
110296250,Ferry,0
110296250,Tram,0
110296250,Taxi,0
110296250,"Car, as driver",99
110296250,"Car, as passenger",9
110296250,Truck,6
110296250,Motorbike/scooter,0
110296250,Bicycle,0
110296250,Walked only,11
110296250,Worked at home,50
110296251,Train,4
110296251,Bus,4
110296251,Ferry,0
110296251,Tram,0
110296251,Taxi,0
110296251,"Car, as driver",238
110296251,"Car, as passenger",15
110296251,Truck,9
110296251,Motorbike/scooter,6
110296251,Bicycle,0
110296251,Walked only,10
110296251,Worked at home,112
110296252,Train,0
110296252,Bus,0
110296252,Ferry,0
110296252,Tram,0
110296252,Taxi,0
110296252,"Car, as driver",58
110296252,"Car, as passenger",0
110296252,Truck,3
110296252,Motorbike/scooter,0
110296252,Bicycle,0
110296252,Walked only,0
110296252,Worked at home,48
110296253,Train,3
110296253,Bus,0
110296253,Ferry,0
110296253,Tram,0
110296253,Taxi,0
110296253,"Car, as driver",36
110296253,"Car, as passenger",0
110296253,Truck,4
110296253,Motorbike/scooter,0
110296253,Bicycle,0
110296253,Walked only,0
110296253,Worked at home,23
110300001,Train,4
110300001,Bus,0
110300001,Ferry,0
110300001,Tram,0
110300001,Taxi,0
110300001,"Car, as driver",425
110300001,"Car, as passenger",16
110300001,Truck,15
110300001,Motorbike/scooter,3
110300001,Bicycle,0
110300001,Walked only,53
110300001,Worked at home,107
110306039,Train,3
110306039,Bus,6
110306039,Ferry,0
110306039,Tram,0
110306039,Taxi,0
110306039,"Car, as driver",706
110306039,"Car, as passenger",33
110306039,Truck,12
110306039,Motorbike/scooter,9
110306039,Bicycle,0
110306039,Walked only,0
110306039,Worked at home,8
110306040,Train,0
110306040,Bus,0
110306040,Ferry,0
110306040,Tram,0
110306040,Taxi,0
110306040,"Car, as driver",119
110306040,"Car, as passenger",10
110306040,Truck,0
110306040,Motorbike/scooter,0
110306040,Bicycle,0
110306040,Walked only,8
110306040,Worked at home,31
110306041,Train,0
110306041,Bus,0
110306041,Ferry,0
110306041,Tram,0
110306041,Taxi,0
110306041,"Car, as driver",112
110306041,"Car, as passenger",3
110306041,Truck,0
110306041,Motorbike/scooter,0
110306041,Bicycle,0
110306041,Walked only,0
110306041,Worked at home,25
110306042,Train,12
110306042,Bus,5
110306042,Ferry,0
110306042,Tram,0
110306042,Taxi,0
110306042,"Car, as driver",2104
110306042,"Car, as passenger",98
110306042,Truck,33
110306042,Motorbike/scooter,22
110306042,Bicycle,9
110306042,Walked only,21
110306042,Worked at home,46
110306044,Train,0
110306044,Bus,0
110306044,Ferry,0
110306044,Tram,0
110306044,Taxi,0
110306044,"Car, as driver",495
110306044,"Car, as passenger",40
110306044,Truck,19
110306044,Motorbike/scooter,8
110306044,Bicycle,0
110306044,Walked only,62
110306044,Worked at home,138
110316200,Train,6
110316200,Bus,6
110316200,Ferry,0
110316200,Tram,0
110316200,Taxi,0
110316200,"Car, as driver",287
110316200,"Car, as passenger",18
110316200,Truck,3
110316200,Motorbike/scooter,0
110316200,Bicycle,0
110316200,Walked only,3
110316200,Worked at home,89
110316201,Train,12
110316201,Bus,9
110316201,Ferry,0
110316201,Tram,0
110316201,Taxi,0
110316201,"Car, as driver",607
110316201,"Car, as passenger",35
110316201,Truck,16
